0001;950;ATH;KVA;2011-11-01;3:20;2011-11-01;4:20
0001;951;KVA;ATH;2011-11-01;5:00;2011-11-01;6:05
0001;504;ATH;HER;2011-11-01;7:30;2011-11-01;8:20
0001;505;HER;ATH;2011-11-01;9:00;2011-11-01;9:50
0002;329;ATH;LCA;2011-11-01;4:50;2011-11-01;6:25
0002;332;LCA;ATH;2011-11-01;7:15;2011-11-01;9:00
0002;337;ATH;LCA;2011-11-01;10:00;2011-11-01;11:35
0002;338;LCA;ATH;2011-11-01;12:25;2011-11-01;14:10
0003;502;ATH;HER;2011-11-01;5:00;2011-11-01;5:50
0003;503;HER;ATH;2011-11-01;6:30;2011-11-01;7:20
0003;241;ATH;LIN;2011-11-01;8:30;2011-11-01;11:00
0003;242;LIN;ATH;2011-11-01;11:50;2011-11-01;14:10
0004;902;ATH;SKG;2011-11-01;5:00;2011-11-01;5:55
0004;903;SKG;ATH;2011-11-01;6:35;2011-11-01;7:30
0004;135;ATH;GVA;2011-11-01;9:00;2011-11-01;12:00
0004;136;GVA;ATH;2011-11-01;12:45;2011-11-01;15:25
0005;321;ATH;IST;2011-11-01;6:05;2011-11-01;7:20
0005;322;IST;ATH;2011-11-01;8:05;2011-11-01;9:25
0005;307;ATH;SOF;2011-11-01;10:15;2011-11-01;11:35
0005;308;SOF;ATH;2011-11-01;12:25;2011-11-01;13:40
0006;506;ATH;HER;2011-11-01;10:45;2011-11-01;11:35
0006;507;HER;ATH;2011-11-01;12:15;2011-11-01;13:05
0006;510;ATH;HER;2011-11-01;14:00;2011-11-01;14:50
0006;511;HER;ATH;2011-11-01;15:30;2011-11-01;16:20
0007;942;ATH;AXD;2011-11-01;15:00;2011-11-01;15:55
0007;943;AXD;ATH;2011-11-01;16:35;2011-11-01;17:35
0007;736;ATH;KGS;2011-11-01;18:25;2011-11-01;19:20
0007;737;KGS;ATH;2011-11-01;20:00;2011-11-01;20:55
0008;265;ATH;LHR;2011-11-01;17:15;2011-11-01;21:15
0008;266;LHR;ATH;2011-11-01;22:15;2011-11-02;1:50
0009;918;ATH;SKG;2011-11-01;20:00;2011-11-01;20:55
0009;901;SKG;ATH;2011-11-02;5:00;2011-11-02;5:55
